"","Model","Nuciferine"
"MBP",-1.05942620647287,0.219097981910965
"CST3",-0.495192548182278,-0.0386786680274048
"CAMK2N1",-0.329813831085905,0.0196345177844596
"APOE",-0.624152649680971,0.0746263952831715
"FTH1",0.242451482266971,-0.116586346967581
"PPIA",-0.299914764141095,0.102879520643274
"RPLP1",0.301344786785305,-0.00551650419084419
"RPL37",0.083479151801389,0.0246396614629602
"ZWINT",-0.155230799916574,-0.000938203847117539
"EEF1A1",0.436253920535112,0.0500315960927643
"PTGDS",-1.50910480444791,0.57546047668141
"FTL",0.604492605342679,0.0152170691978987
"PLP1",-1.11159526146982,0.337993647291691
"ALDOA",0.279814557552894,-0.0347706276576177
"ACTB",0.584889730434047,0.0116586805829377
"RPS27",0.293171612772784,0.020860861683095
"COX6A1",-0.0344091890420408,0.00709957927471557
"RPL35",0.321306322530793,-0.0162271192922179
"SYP",-0.208502361008603,-0.0137902783349541
"RPL38",0.120922970727075,-0.0657446885133067
"UBC",0.631807447870927,-0.0190097156241959
"CFL1",0.256429625004121,-0.00427007245535205
"CKB",-0.179248405624176,0.0253968477873352
"CPE",-0.0252881120638885,-0.0235469527880589
"ATP1B1",-0.163794134682399,0.0717772454813045
"SNAP25",-0.117985030574283,0.163719895109958
"COX4I1",-0.189575641177311,0.0451852038546537
"TPT1",0.575715252615888,0.0040029326330138
"YWHAH",0.0460441163070019,-0.0244131078607423
"RPS23",0.31017526814466,0.00440822692135261
"PKM",0.623552481927695,-0.0785107689103707
"FKBP11",-0.179176604624471,0.0244447852746342
"OSCP1",0.131397869978535,0.0241788449402499
"SPARCL1",-0.316550506710832,-0.066605915826952
"RPS27A",0.237227094801226,0.0301481458733443
"RPL26",0.123840778186523,0.0871678366518288
"UCHL1",-0.284077266810584,0.0345555204500784
"YWHAZ",-0.0551960821220592,0.0607774241439196
"ATP6V0C",-0.136306205798991,-0.00468278408763564
"COX8A",-0.271450526458133,0.0651160532542523
"ATP5F1B",-0.0469336700305246,0.0548883432046968
"DARS",0.435502825714505,0.0053835088341534
"HSP90AB1",0.198262674507732,-0.0995753818481563
"RPS2",0.617586117870206,-0.0341484808624596
"GLUL",0.35169366281269,-0.116024012045698
"RPS15A",0.300355034257099,-0.0329954190400934
"RPL19",0.469695845028843,-0.0307356058291059
"RPS15",0.205660716873296,0.00229257290356445
"RPL21",0.192585136731224,-0.0175853195274682
"GFAP",2.7436557849994,-0.317063918192324
"CAMK2A",-0.812432357540642,-0.0298182930684916
"POTEE",0.565385220737484,-0.160094952423375
"ACTG1",0.529007593863432,-0.0583174794106986
"FAU",0.196814857213171,0.00350497147852805
"CLU",0.507528163625339,-0.18447299025127
"TPI1",0.168480621512288,-0.0586013809971073
"RPS7",0.178308585564507,0.0367596251660657
"DYNLL1",0.443974091462966,-0.0544046499501735
"RPS16",0.256599578694582,-0.00712326641048582
"RPL9",0.299685741400889,-0.0396019994469754
"BCAT1",0.465899305965607,0.0757371819018599
"YWHAE",-0.15523315525686,0.0628079738105721
"MYL6",0.248038678764429,-0.00689634084955468
"RPL27",0.38897064252636,0.00644582464766922
"RPS18",0.423526959235796,-0.0369158246738665
"STMN1",-0.648877773993299,0.0839546738897979
"MDH1",-0.178255683701955,0.125477108986034
"S100B",-0.597617687551996,0.178180934379418
"ATP5MF",-0.174386933342642,0.0338978808093603
"STMN3",-0.312089799688566,0.0369258408057713
"RPS8",0.383843787490711,-0.0430933217709679
"PSAP",-0.0484910740691584,-0.010939119920529
"RPS11",0.348739120188401,-0.027029177561425
"APP",-0.127634047281071,0.0316611166605788
"UQCR11",-0.397387198990737,0.0197893497418267
"RPS25",0.245902190254171,0.0302911452547502
"RPL23",0.488016224821187,-0.0288713087430779
"TUBA1B",-0.307013627705937,0.0872425682413008
"TSPAN7",-0.3642938763242,-0.000292445057939634
"RPS24",0.392994615118888,0.0474342595704137
"THY1",-0.396989347334404,0.0204653347452427
"SLC25A4",-0.116837163955691,0.092737662989444
"RTN1",-0.231954739305814,-0.1344983811658
"RPL17",0.381025463399831,-0.0331607015286784
"ATP5MG",-0.118837127893534,0.0926997328146426
"TUBA1A",0.129128192268415,-0.0229868457431193
"CCK",1.11963311633269,-0.0206743021053494
"COX5B",-0.0589889388925909,0.0486416509450475
"RPL13A",0.210556933303083,0.0282271888872053
"EEF1A2",0.166018290423465,0.0318677048826147
"RPS17",0.435153212811072,0.0484255446480307
"RPS12",0.299198122123214,0.00572900008280839
"HSPA8",0.35729083654881,-0.074390806620325
"NDRG4",-0.407237845194513,0.0620284823744056
"PRNP",-0.0906486223274549,-0.103678365670748
"ENO1",0.716785518956045,-0.10144589679615
"EEF2",0.432462976263465,0.0174170099221703
"ATP1A3",0.200690048264039,0.00428143415427175
"RPLP0",0.709878464564585,-0.07540563539414
"PEBP1",-0.185240531874434,0.0206192855598846
"PRKAR1B",0.321933227850993,-0.0762898241475921
"ALDOC",-0.762026880979195,-0.00786669029936643
"RPL14",0.488494377781111,0.0251994277240723
"SLC1A2",-0.65862058982194,0.0123082615456623
"BSG",-0.0874579261247324,0.051073321777236
"RPL24",0.283537159066534,0.0285702322406263
"LDHA",1.17814318453526,-0.0444191917426802
"PGAM1",0.341047691297169,-0.0386158592422704
"RPL18A",0.489667384165808,-0.0601240500897604
"KLC1",0.0913388361658267,-0.048978241662242
"RPSA",0.472411602344637,-0.0303158843520799
"RPL10",0.391733623258675,0.0143102965493272
"SERINC1",-0.377141290126765,0.078750415039422
"RPS3",0.370238390880571,-0.00298802094955256
"AP2M1",-0.12730202951879,0.025406242018055
"OLFM1",-0.233713479976766,-0.0152518659740591
"TUBB4A",-0.680650479102311,0.0507888958967487
"NDRG2",-0.540317960961405,-0.140200756560924
"SKP1",-0.264511783487913,0.0938131418498566
"HSP90AA1",0.682490928366967,-0.112696600887329
"APLP1",-0.423461600873258,0.0226581166454525
"UQCRQ",-0.172035672258132,-0.00906298804467074
"RPL11",0.365951899936139,0.0300197910209528
"HSPE1",0.968888409633389,-0.0910629406388345
"RPL3",0.428810526585367,-0.00145969522999475
"RTN3",-0.125240790418008,-0.010191172984902
"COX7B",-0.336581440970469,0.0825835559794187
"TUBB2A",0.0720609349247089,-0.0552375173902294
"ARF1",-0.0199518017742731,0.0160246229466642
"RPL4",0.402049816634968,-0.0104007185336835
"CTXN1",-0.284534749533158,-0.102296486622139
"ATP5IF1",-0.112269888871214,0.0681722677198245
"GPM6A",-0.762192843118364,0.104108337100285
"SLC17A7",-0.40360319385855,-0.0540002933447037
"SST",0.126053374750472,0.0721430225858022
"ITM2C",-0.620202982486788,0.0559585368516384
"YWHAG",0.166178890877246,-0.0390382082894823
"SCG5",-0.310781317181084,0.00601896156085764
"KIF5A",-0.213695894737816,-0.101557595133604
"RPS9",0.320963191089853,-0.0490514039206714
"RPS6",0.478976886000303,-0.0115376214807826
"SNCB",-0.45126070798124,-0.0395407925967462
"HSPB1",5.78423906292357,-0.293619352757251
"DYNLRB1",-0.060729808655406,-0.0140485650845706
"TTR",-7.2215530171844,5.64579443511126
"RPL6",0.47720427825824,-0.00655235567486331
"PCP4",-0.442386442462934,0.252077047558257
"CD81",-0.191236779554921,-0.0537622372478183
"ATP5F1A",-0.197992265528907,0.0498604809134108
"ATP5MC3",-0.0684868359434327,0.0572995872813566
"COX6B1",-0.193023639466861,-0.00466101725853378
"EIF4A2",-0.322380327767576,0.130165358071612
"RPS4Y1",0.4096030544544,-0.0264773179430312
"ENO2",0.153971969833188,-0.0744309359510882
"DNM1",-0.231407316637585,0.00762170567628953
"RPS21",0.0880594278532071,0.00148823063049784
"RPS28",0.498499305283128,-0.0125411912878798
"RPL30",0.904869983549325,-0.439029445516457
"CTSB",0.64947446110041,-0.158935542297151
"TIMP1",5.93207421144792,-0.19442046180398
"SLC25A3",0.0967091174933932,0.0376729699092761
"TSC22D1",0.48854512303485,-0.0825325502069135
